level,fy,fy_end,entity,ein,measure,amount,source,note
org,2025,2025-09-30,The Food Basket Inc (Hawaii County ERA),260349475,tefap_admin_ocs_allocation,44847,"Hawaii Office of Community Services TEFAP page (labor.hawaii.gov/ocs, read 2026-09-20)","FFY2025 administrative funds: Hawaii County 21.02% ($44,847.43) Allocation by the state agency, not an audited expenditure; kept separate from the audit rows."
org,2025,2025-09-30,Maui Food Bank Inc (Maui County ERA),990315110,tefap_admin_ocs_allocation,22210,"Hawaii Office of Community Services TEFAP page (labor.hawaii.gov/ocs, read 2026-09-20)","FFY2025 administrative funds: Maui County 10.41% ($22,210.36) Allocation by the state agency, not an audited expenditure; kept separate from the audit rows."
org,2024,2024-12-31,The Food Basket Inc,260349475,tefap_food,2465683,"The Food Basket Inc. 2024 audited financial statements, Schedule of Expenditures of Federal Awards (AL 10.569, OCS-TEFAP noncash assistance; PDF in notes/)",Calendar-year audit. Passed through Hawaii Office of Community Services.
org,2024,2024-12-31,The Food Basket Inc,260349475,tefap_admin,178434,"same schedule (AL 10.568: OCS-TEFAP-24-03 $88,717 + OCS-TRRG-22-03 $33,490 + OCS-TRRG-24-02 $56,227)",Includes TEFAP Reach and Resiliency grant rows booked under 10.568
org,2024,2024-12-31,The Food Basket Inc,260349475,csfp_food,724854,"same schedule (AL 10.565, OCS-CSFP noncash assistance)",
org,2024,2024-12-31,The Food Basket Inc,260349475,csfp_admin,119340,"same schedule (AL 10.565, OCS-CSFP-24-02)",
org,2024,2024-12-31,The Food Basket Inc,260349475,total_federal_expended,6200742,"same schedule, total expenditures of federal awards","Also includes SNAP administrative matching (10.561) $58,820 and other federal awards"
org,2025,2025-06-30,Maui Food Bank Inc,990315110,tefap_food,1146531,"Maui Food Bank Inc. FY2025 audited financial statements, Schedule of Expenditures of Federal Awards (AL 10.569, food commodities; PDF in notes/)","Year ended June 30, 2025. Passed through Hawaii Office of Community Services. All of it shown as provided to subrecipients."
org,2025,2025-06-30,Maui Food Bank Inc,990315110,tefap_admin,41430,"same schedule (AL 10.568: OCS-TEFAP-25-02 $26,386 + OCS-TEFAP-24-02 $15,044)",
org,2025,2025-06-30,Maui Food Bank Inc,990315110,total_federal_expended,1187961,"same schedule, total expenditures of federal awards",TEFAP is the only federal program on the schedule
org,2025,2025-06-30,Hawaii Foodbank Inc,990220699,tefap_food,7337966,"Hawaii Foodbank FY2025 audited financial report, Schedule of Expenditures of Federal Awards (AL 10.569, OCS-TEFAP-23-01 and 24-01; PDF in notes/)","Year ended June 30, 2025. Passed through Hawaii Office of Community Services; all shown as provided to subrecipients."
org,2025,2025-06-30,Hawaii Foodbank Inc,990220699,csfp_food,1495272,"same schedule (AL 10.565, OCS-CSFP-24-01 and 25-01)","$1,326,939 provided to subrecipients"
org,2025,2025-06-30,Hawaii Foodbank Inc,990220699,tefap_admin,791713,"same schedule (AL 10.568: OCS-TRRG-22-01 and 24-01 $449,388 + OCS-TEFAP-24-01 and 25-01 $342,325)",Includes TEFAP Reach and Resiliency grant rows
org,2025,2025-06-30,Hawaii Foodbank Inc,990220699,total_federal_expended,12672312,"same schedule, total expenditures of federal awards","Also includes Summer Food Service $1,452,668, Senior Farmers Market $366,137, TANF $582,832, SNAP administrative matching $178,785, CACFP $112,832, Emergency Food and Shelter $10,613"
org,2024,2024-06-30,Hawaii Foodbank Inc,990220699,tefap_food,4965771,"Hawaii Foodbank FY2024 audited financial report, Schedule of Expenditures of Federal Awards (AL 10.569, OCS-TEFAP-23-01 and 24-01; PDF in notes/)","Year ended June 30, 2024"
org,2024,2024-06-30,Hawaii Foodbank Inc,990220699,csfp_food,1387723,same schedule (AL 10.565),
org,2024,2024-06-30,Hawaii Foodbank Inc,990220699,tefap_admin,429507,same schedule (AL 10.568),
org,2024,2024-06-30,Hawaii Foodbank Inc,990220699,total_federal_expended,9030997,"same schedule, total expenditures of federal awards","Also includes Summer Food Service $326,543, Senior Farmers Market $305,213, TANF $273,407, SNAP administrative matching $223,428, Emergency Food and Shelter $105,395, CACFP $77,390"
org,2022,2022-06-30,Hawaii Foodbank Inc,990220699,tefap_food,1686510,"Hawaii Foodbank FY2022 audited financial report, Schedule of Expenditures of Federal Awards (AL 10.569; PDF in notes/)","Year ended June 30, 2022"
org,2022,2022-06-30,Hawaii Foodbank Inc,990220699,csfp_food,1217577,same schedule (AL 10.565),
org,2022,2022-06-30,Hawaii Foodbank Inc,990220699,tefap_admin,420893,same schedule (AL 10.568),
org,2022,2022-06-30,Hawaii Foodbank Inc,990220699,total_federal_expended,3838981,"same schedule, total expenditures of federal awards",
