agency,unit,period,period_type,year,total,local,pct,basis,url,note
University of Hawaii Community Colleges,Food used in academic programs (culinary),CY 2022,CY,2022,136517.17,,8.76,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2023/hrs27-8_2023_local-food-products_annual-report_508.pdf,"Local dollars not stated. Report dated December 2022."
University of Hawaii Community Colleges,Food used in academic programs (culinary),CY 2023,CY,2023,616125.69,,7.7,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2024/hrs27-8_2024_local-food-products_annual-report_508.pdf,"Report dated December 2023."
University of Hawaii Community Colleges,Food used in academic programs (culinary),CY 2024,CY,2024,611988.92,,7.91,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2025/hrs27-8_2025_local-food-purchased_annual-report_508.pdf,"Report dated December 2024."
University of Hawaii Community Colleges,Food used in academic programs (culinary),CY 2025,CY,2025,694346.31,,11.53,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2026/hrs27-8_2026_local-food-purchased_annual-report_508.pdf,"Report dated December 2025. First year above 10%."
University of Hawaii at Manoa,Food used in academic programs,CY 2022,CY,2022,12541,,94.9,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2023/hrs27-8_2023_local-food-products_annual-report_508.pdf,"Small program totals; shares swing widely."
University of Hawaii at Manoa,Food used in academic programs,CY 2023,CY,2023,21334,,91,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2024/hrs27-8_2024_local-food-products_annual-report_508.pdf,""
University of Hawaii at Manoa,Food used in academic programs,CY 2024,CY,2024,46888,,93.6,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2025/hrs27-8_2025_local-food-purchased_annual-report_508.pdf,""
University of Hawaii at Manoa,Food used in academic programs,CY 2025,CY,2025,7976.04,,25.9,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2026/hrs27-8_2026_local-food-purchased_annual-report_508.pdf,"Total spending fell to about $8,000."
University of Hawaii West Oahu,Food used in academic programs,CY 2022,CY,2022,94.33,,0,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2023/hrs27-8_2023_local-food-products_annual-report_508.pdf,"Totals under $150 a year."
University of Hawaii West Oahu,Food used in academic programs,CY 2023,CY,2023,118.28,,5,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2024/hrs27-8_2024_local-food-products_annual-report_508.pdf,""
University of Hawaii West Oahu,Food used in academic programs,CY 2024,CY,2024,69.66,,0,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2025/hrs27-8_2025_local-food-purchased_annual-report_508.pdf,""
University of Hawaii West Oahu,Food used in academic programs,CY 2025,CY,2025,146.77,,0,"Food purchased for academic programs, share of total food cost",https://www.hawaii.edu/govrel/docs/reports/2026/hrs27-8_2026_local-food-purchased_annual-report_508.pdf,""
University of Hawaii at Hilo,Food used in academic programs,CY 2025,CY,2025,0,0,,"Reports no food purchased for academic programs since 2022",https://www.hawaii.edu/govrel/docs/reports/2026/hrs27-8_2026_local-food-purchased_annual-report_508.pdf,"$0 reported in every year 2022 to 2025."
Department of Defense,Hawaii National Guard Youth Challenge Academy meals,CY 2025,CY,2025,,,,"Required to report under HRS 27-8; no report located on the department's site or the Legislature's reports portal",https://dod.hawaii.gov/blog/state-of-hawaii-department-of-defense-annual-report-2025/,"The FY2025 annual report does not mention local food purchasing. Checked 2026-09-20."
